wd_id,name,lat,lon
Q3495316,St George's Hospital,51.4267,-0.1757
Q88480720,NHS Nightingale Hospital London,51.508056,0.030278
Q7374301,Royal Hospital for Neuro-disability,51.451917,-0.214178
Q7374518,Royal National Orthopaedic Hospital,51.632,-0.305
Q7374995,Royal Waterloo Hospital for Children and Women,51.505288,-0.113128
Q30292749,Mount Vernon Hospital,51.6153,-0.4461
Q30292844,Sevenoaks Hospital,51.288264,0.194757
Q30292831,Ashford Hospital,51.4415,-0.469
Q30292829,Orpington Hospital,51.3622,0.095
Q30292861,Barking Community Hospital,51.53868,0.09866
Q30293099,Caterham Dene Hospital,51.2839,-0.08557
Q30293035,Edgware Community Hospital,51.60634,-0.270583
Q30293050,Spire Hartswood Hospital,51.600416,0.293055
Q30293058,Erith and District Hospital,51.4771,0.1667
Q30293120,Goodmayes Hospital,51.5763,0.1105
