score,distance_km,osm_name,grid3_name,decision_id
0.6753,54.16,Zango Health Post,Zango 1 Health Post,xwd:sha256:65a093d28a5a5fceaedb51cca1beb3a146b32b309999d40e1f7d25dac5285801
0.6753,45.38,Zango Health Post,Zango 1 Health Post,xwd:sha256:9fb9f1a02cfef4e9d620f2f9a0682442b03e4731705dae990850ae77d766e09a
0.6746,14.92,Zango II Health Post,Zango Health Post,xwd:sha256:afb19c46bb94978fb816ee68287506b2f71c2e3e9241d455d8506d0efda7ea00
0.6738,0.02,Masu Primary Health Centre,Massu Primary Health Center,xwd:sha256:7cd85cbdc546cd49c2cdac5247fdb394dff775786ee4efaae101190698e42049
0.6735,2.27,Yammawa Gamji Health Post,Yammawa Ganji Health Post,xwd:sha256:429c87fc8fcdb2dacd58251bb4eceebfd2010b139d83e5c2bb6dbd8ba0387a27
0.6734,21.10,Zango II Health Post,Zango Health Post,xwd:sha256:40befb669730b4f6b106409f759a00fe187a10ec3ebeebc48c6a3bcf57773ede
0.6733,52.48,Zango Health Post,Zango 2 Health Post,xwd:sha256:e7544c7f85e82222f623a5bf0fe22c9658cff86987b4158708448412f759f525
0.6733,44.94,Zango Health Post,Zango 2 Health Post,xwd:sha256:4692f2d2fc386903829bd3b75bde4cdc673525ed45cc358eb8e025675b41fc9a
0.6722,18.36,Tattarawa Primary Health Centre,Tattarawa Primary Health Center,xwd:sha256:aeba5c052ebf36ba8d03381cd5f2de4b45ce3b993f638347932b8613e10f4ff6
0.6715,105.46,Falgore Primary Health Centre,Falgore Primary Health Center,xwd:sha256:dee19c0bb2ffc03827994d52c9271f77ff6f45896c4df84a1f0fb7c1acc886c2
0.6710,28.04,Gayawa Primary Health Centre,Gayawa Primary Health Center,xwd:sha256:1802f166bbc118998ea666d7076a6136e259632fa6ead6dbd50b9b94693bc420
0.6703,0.02,Dawaki General Hospital,Dawakin Kudu General Hospital,xwd:sha256:e6426271a41904309a4ce05c67acd853b9904003db26866c6cfbdc6435c80124
0.6701,1.61,Garko Primary Health Centre,Garko Dukawa Primary Health Center,xwd:sha256:5783eaf98e43247d2e0a699c686c0c4b1b955c2ca94968ad76662fd3c7e1795c
0.6698,0.02,Patricia General Hospital,Patricia Maternity Clinic,xwd:sha256:57c2832e2a89fcffe5320da236b556c64955ac9fe0e4b025349cb65862ec4f6f
0.6697,41.89,Chiromawa Primary Health Centre,Chiromawa Primary Health Center,xwd:sha256:dba2be9ad423678241820c3ca53a3ae07f3388ba45727d1a2768a54068fb1c8b
0.6697,41.90,Chiromawa Primary Health Centre,Chiromawa Primary Health Center,xwd:sha256:f31ab482edfc6171a5b5953a1d5ae5b8ba1115fa742eb8687b82e3a47d10e409
0.6691,82.59,Burji Primary Health Centre,Burji Primary Health Center,xwd:sha256:697008cbaf41815b424b773781fbe52f5321521396392a3bad2530143ecd3dc8
0.6691,82.59,Burji Primary Health Centre,Burji Primary Health Center,xwd:sha256:0b5da4645829676a1427b5c0417c2990310a96d332506c7db45fd90c32b62ff9
