OBJECTID,globalid,nhfr_uid,nhfr_facility_code,country,iso,state,lga,lga_name_disagreement,ward,ward_name_disagreement,facility_name,facility_name_source,ownership,ownership_type,facility_level,facility_level_option,latitude,longitude,geocoordinates_source,last_updated,x,y
36784,703dc58c-ac63-4f9b-8b0f-976b6de0e211,,,Nigeria,NGA,Anambra,Anambra West,0,Mmiata Ward,0,St Benedith Maternity and Hospital Mmiata,GRID3_EHEALTH,Unknown,Unknown,Primary,Primary Health Clinic,6.417297363,6.793518066,GRID3_EHEALTH,2024-11-11,6.79351806600005,6.41729736300005
36785,e074a951-2730-4324-9103-4fddc8d87701,,,Nigeria,NGA,Bayelsa,Yenagoa,0,Gbarain 3 9,0,Okotiama Health Center,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,5.03,6.29613,GRID3_EHEALTH,2024-11-11,6.29613000000006,5.03000000000003
36786,29345e49-89db-42e0-9e7f-92b605293a53,,,Nigeria,NGA,Ogun,Sagamu,0,Gra Sabo,0,Omowumi Maternity and Hospital,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Clinic,6.82898,3.64161,GRID3_EHEALTH,2024-11-11,3.64161000000007,6.82898000000006
36787,e35c964a-e00f-4551-849c-00b2a0c7acb3,,,Nigeria,NGA,Imo,Orlu,0,Amaifeke Ofeahia,0,Miralaz Maternity and Hospital,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Clinic,5.78876450177,7.03156582111,GRID3_EHEALTH,2024-11-11,7.03156582100007,5.78876450200005
36788,313366c5-a035-4fae-aa5a-658514a07440,,,Nigeria,NGA,Abia,Aba North,0,Ariaria,0,Nwamaka Maternity and Motherless Babies Home Aba,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Clinic,5.113296667,7.339373333,GRID3_EHEALTH,2024-11-11,7.33937333300003,5.11329666700004
36789,e3b2cb31-609a-4001-9067-de7e7d928bcc,,,Nigeria,NGA,Anambra,Nnewi North,0,Umudim Ward 2,0,The Ligth Specialist Hospital and Maternity,GRID3_EHEALTH,Public,Unknown,Tertiary,Primary Health Clinic,6.00328,6.91348,GRID3_EHEALTH,2024-11-11,6.91348000000005,6.00328000000007
36790,d3c786db-6d39-4670-ba82-8b5c9c9a79b7,,,Nigeria,NGA,Anambra,Nnewi North,0,Otolo Ward 1,0,Salvation Specialist Clinic,GRID3_EHEALTH,Public,Unknown,Tertiary,General Hospital,6.00271,6.95045,GRID3_EHEALTH,2024-11-11,6.95045000000005,6.00271000000004
36791,7a845ecd-f731-4827-a449-40b2234ca74b,,,Nigeria,NGA,Anambra,Idemili North,0,Eziowelle,0,Ogidi General Hospital,GRID3_EHEALTH,Public,Unknown,Secondary,General Hospital,6.1481,6.92891,GRID3_EHEALTH,2024-11-11,6.92891000000003,6.14810000000006
36792,8d7a3ce3-c8ca-489d-bc73-2e4e6fb89bef,,,Nigeria,NGA,Anambra,Onitsha North,0,Gra,0,Christ The King Parish Health Post,GRID3_EHEALTH,Public,Unknown,Primary,Health Post,6.16073,6.78737,GRID3_EHEALTH,2024-11-11,6.78737000000007,6.16073000000006
36793,1e4bd0f9-472c-48d6-bc4e-30e2504dec24,,,Nigeria,NGA,Anambra,Aguata,0,Mkpologwu,0,Nkpologwu Community Hospital,GRID3_EHEALTH,Unknown,Unknown,Primary,Unknown,5.97936,7.08047,GRID3_EHEALTH,2024-11-11,7.08047000000005,5.97936000000004
