osm_id,osm_name,osm_type,hfr_id,hfr_name,hfr_type,hfr_lga,probability,decision,factor_name,factor_geo,distance_km,type_agree,explanation
way/188794646,Blue Cross Clinic,CLINIC,0fa22e16-d57b-4196-b6be-c90400bfe861,St Johns Hospital,HOSPITAL,Egor,0.7824,review,0.5583,0.8893,0.176,False,name 56%; 0.2 km apart; type differs
node/2072662363,Okungbowa Medical Store,PHARMACY,715dc1b4-223f-4efc-a2e3-3dd1f38947b3,Redeem Nursing and Meternity,PHC,Egor,0.7813,review,0.56,0.8824,0.188,False,name 56%; 0.2 km apart; type differs
node/2344543050,Newgate Trust Pharmacy,PHARMACY,cf91738c-4143-4610-b92d-de902a75941b,Universal Medical Center,CLINIC,Oredo,0.7724,review,0.5801,0.8127,0.311,False,name 58%; 0.3 km apart; type differs
way/791453141,Okorare Clinic and Maternity,MATERNITY,eae4c253-3417-47de-bc4c-a2f5f803e3d5,Time Medical Clinic and Maternity,MATERNITY,Oredo,0.7722,review,0.6343,0.6827,0.573,True,name 63%; 0.6 km apart; type match
node/1995054549,Kelvin Medical Store,PHARMACY,24f65cbe-82af-4ceb-85a2-a457b33f581a,Ogida Primary Health Clinic,CLINIC,Egor,0.7657,review,0.5342,0.9061,0.148,False,name 53%; 0.1 km apart; type differs
way/791290857,Oretse Medical Centre,CLINIC,f9bf0b7a-5dba-4627-8c73-99698edb5b56,Horation Dental,PHC,Oredo,0.7654,review,0.6444,0.6423,0.664,False,name 64%; 0.7 km apart; type differs
node/2161060443,Josaf Pharm,PHARMACY,0c0524bc-372f-4770-adc4-ce8de25f847b,Efe Medical Clinic,CLINIC,Oredo,0.76,review,0.5152,0.9384,0.095,False,name 52%; 0.1 km apart; type differs
node/2344280071,Calvary Medical Centre,CLINIC,eae4c253-3417-47de-bc4c-a2f5f803e3d5,Time Medical Clinic and Maternity,MATERNITY,Oredo,0.7551,review,0.5197,0.9162,0.131,False,name 52%; 0.1 km apart; type differs
way/47419701,Calvary Medical Centre,CLINIC,eae4c253-3417-47de-bc4c-a2f5f803e3d5,Time Medical Clinic and Maternity,MATERNITY,Oredo,0.7541,review,0.5197,0.914,0.135,False,name 52%; 0.1 km apart; type differs
node/2154570763,Korban Pharmacy & Stores,PHARMACY,48b7b73d-53e2-4b03-8048-1bd740225072,Oredo,PHC,Oredo,0.7511,review,0.5111,0.9276,0.113,False,name 51%; 0.1 km apart; type differs
way/84435530,Globa Medical Clinic,CLINIC,40a33756-3913-40c1-bc0f-a6168ff6db94,Orakx Medical,PHC,Egor,0.742,review,0.8462,0.107,3.352,False,name 85%; 3.4 km apart; type differs
way/791290850,University Of Benin Teaching Hospital,HOSPITAL,cf91738c-4143-4610-b92d-de902a75941b,Universal Medical Center,CLINIC,Oredo,0.7409,review,0.8292,0.1451,2.896,False,name 83%; 2.9 km apart; type differs
node/1994159685,Recall Life Pharmacy,PHARMACY,1f42c7df-5d03-4fc0-89cb-b8a9561edb8d,A1 Winner Clinic and Maternity,MATERNITY,Egor,0.7383,review,0.5193,0.8795,0.193,False,name 52%; 0.2 km apart; type differs
node/2350849577,Ehibass Pharmacy Store,PHARMACY,1da8c96d-830a-4cb9-b8d1-1f6a851b50ab,St Angelas Royal Nursing and Maternity Home,MATERNITY,Oredo,0.7354,review,0.5601,0.7754,0.381,False,name 56%; 0.4 km apart; type differs
node/2075846072,Doctors Quarters,CLINIC,cc6b1c57-a5a8-4a46-98bd-2ae736d4d7a9,Fountain of Life Hospital,HOSPITAL,Oredo,0.7315,review,0.5298,0.8395,0.262,False,name 53%; 0.3 km apart; type differs
node/2153205718,Flowell Pharnacy,PHARMACY,0c0524bc-372f-4770-adc4-ce8de25f847b,Efe Medical Clinic,CLINIC,Oredo,0.7312,review,0.529,0.8406,0.26,False,name 53%; 0.3 km apart; type differs
way/804230170,Maviscope Hospital & Fertility Centre,HOSPITAL,766ac1b3-2872-4799-a0de-8800cbe88072,Ekae Primary Health Care,PHC,Oredo,0.721,review,0.6346,0.5669,0.851,False,name 63%; 0.9 km apart; type differs
way/791453132,Westend Clinic,CLINIC,77041830-a88b-4596-bfb9-d22778062db4,Ekpen Hospital,HOSPITAL,Oredo,0.7207,review,0.6762,0.4669,1.142,False,name 68%; 1.1 km apart; type differs
node/1994157404,Medicine Store,PHARMACY,d16463a4-f103-4e62-97a8-3b8e638c2052,Aljumah Nursing and Maternity Home,MATERNITY,Egor,0.7156,review,0.5259,0.815,0.307,False,name 53%; 0.3 km apart; type differs
node/2154550310,Golden Berries,PHARMACY,67964731-f305-45b3-8ca9-578f40feb907,Igbinedion School Medical Center,CLINIC,Ikpoba-Okha,0.7152,review,0.613,0.6063,0.751,False,name 61%; 0.8 km apart; type differs
way/44962191,Center for Research and Preventive Health Care,HOSPITAL,54aee2d3-0ef4-42ab-bb33-75a88456f953,Itua Medical Center,CLINIC,Oredo,0.7093,review,0.5145,0.8292,0.281,False,name 51%; 0.3 km apart; type differs
node/2344590802,Time Mortuary,HOSPITAL,ff829fe4-16cf-455e-9240-97ac4e74e9d7,Christ Cottage Clinic and Maternity,MATERNITY,Egor,0.7062,review,0.5618,0.7099,0.514,False,name 56%; 0.5 km apart; type differs
