id,name,amenity,healthcare,lga,lat,lon
way/291881000,Kaya Health Post,hospital,hospital,Kunchi,12.5503773,8.2676465
way/291881001,Dankwai Health Post,hospital,hospital,Kunchi,12.4104429,8.3562369
way/291881002,Ganji Health Post,hospital,hospital,Makoda,12.4219846,8.3952303
way/291881003,Ridawa Health Post,hospital,hospital,Kunchi,12.4554311,8.3466076
way/291881005,Makoda Primary Health Centre,hospital,hospital,Makoda,12.4229206,8.4283516
way/291882073,Danmadaki Health Post,hospital,hospital,Makoda,12.5807926,8.4993115
way/291882074,Kantudu Health Post,hospital,hospital,Makoda,12.5725998,8.4696808
way/291884898,Masallachi Health Post,hospital,hospital,Dambatta,12.4731332,8.5378293
way/291884899,Maiganji Health Post,hospital,hospital,Dambatta,12.4354176,8.5742834
way/291885766,Jama'Ar Hazo Health Post,hospital,hospital,Makoda,12.5461092,8.5212808
way/291887061,Koren Tabo Health Post,hospital,hospital,Makoda,12.5015813,8.4395275
way/291887062,GSS Dambatta Health Post,hospital,hospital,Dambatta,12.4250295,8.5171982
way/291887063,Yammawa Health Post,hospital,hospital,Dambatta,12.5074801,8.469225
way/291887296,Koguna Primary Health Centre,hospital,hospital,Makoda,12.3849361,8.4603534
way/291889757,Yan Bawa Health Post,hospital,hospital,Makoda,12.5339348,8.4967917
way/291889758,Jibga Fulani Health Post,hospital,hospital,Makoda,12.4010374,8.4882678
way/291889759,Chasko Health Post,hospital,hospital,Dambatta,12.5540565,8.5913975
way/291889760,Gwalaida Health Post,hospital,hospital,Dambatta,12.4649545,8.5742903
way/291889761,Marke Danya Health Post,hospital,hospital,Dambatta,12.4617694,8.4601727
way/291889763,Kurna Health Post,hospital,hospital,Makoda,12.5454746,8.4798605
way/291889766,Yammawa Gamji Health Post,hospital,hospital,Dambatta,12.4882199,8.4760497
way/291889767,Ajumawa Health Post,hospital,hospital,Dambatta,12.4772969,8.5059761
way/291889768,Diggol Health Post,hospital,hospital,Dambatta,12.5246868,8.5589296
way/291889769,Balloda Health Post,hospital,hospital,Dambatta,12.404915,8.5947265
way/291897519,Kwasauri Health Post,hospital,hospital,Dambatta,12.4311123,8.6774855
way/291897522,Yammawa Wanzari Health Post,hospital,hospital,Dambatta,12.5114551,8.6546936
