id,name,alternate_name,category,lga,ward_code,lon,lat
ba9029da-cce7-45d8-a0c2-ef5cbb42a162,Itaoniyan Basic Health Center,Itaoniyan Health Center,Primary Health Center,Akure South,ODSAKS01,5.09350586000005,7.267883300000051
95a7c5b1-f763-403c-9120-3e1b5427ebf1,Surulere Basic Health Center,,Primary Health Center,Ondo West,ODSOWT07,4.835469,7.088767
cc77c14a-4ebd-4867-b741-331ec1fbfc9d,Custain Basic Health Center,,Primary Health Center,Odigbo,ODSODI10,4.874963775504671,6.75776193665936
2f55fe12-a29d-4c11-9e67-0c1c1bc26007,Ilutitun Basic Health Center,,Primary Health Center,Okitipupa,ODSPUP08,4.640667,6.528012
df73fb7c-1655-4cb4-ac1f-cc5700f9bff1,Arakale Comprehensive Health Center,,Comprehensive Health Center,Akure South,ODSAKS10,5.192849,7.251582
3e667d93-4fac-4e5e-a698-e3f745e19857,Moferere Iju Basic Health Center,,Primary Health Center,Akure South,ODSAKS05,5.20204,7.247266
d2ded6ba-9298-470d-bc75-e16ce022f522,Maroko Maternity Primary Health Center,,Maternity Home,Ondo West,ODSOWT07,4.835699,7.090177
21a065d0-5276-499c-8cd1-41f765314eb5,Ehinogbe Basic Health Center,,Primary Health Center,Owo,ODSOWO02,5.577974,7.193837
eb1c4e11-8cea-4182-bb9c-cb6cb3f5fcc9,Iku Basic Health Center,,Primary Health Center,Akoko North East,ODSANE09,5.738042,7.518564
2f047a0b-b770-4a0b-b735-161fa404870c,Family Support Program Clinic,,Primary Health Center,Owo,ODSOWO06,5.599166,7.215189
2b3182b0-a9b0-46d5-be68-f74841863da5,Ilutitun Comprehensive Health Center,,Comprehensive Health Center,Okitipupa,ODSPUP07,4.639502,6.520255
9c8aebf2-e7b4-4bf1-88f4-916aee3c13fb,Idasen Primary Health Center,,Primary Health Center,Owo,ODSOWO01,5.584677,7.185365
68bd216d-9f40-4e6f-9181-ee2fe6a5b51e,Oka Basic Health Center,,Primary Health Center,Ondo West,ODSOWT09,4.839052,7.08119
941d3c51-556f-41dd-af8c-4a026cfb57ff,Erinje Comprehensive Health Center,,Comprehensive Health Center,Okitipupa,ODSPUP03,4.728868,6.44148
e8f10ccb-fdb8-4e33-ac04-418f51671e6d,Okelisa Okedoko Basic Health Center,,Primary Health Center,Ondo West,ODSOWT10,4.823177,7.09678
a3d2dbf0-dc02-41c5-aafc-b8c4f2043f4b,Mother and Child Hospital,,Primary Health Center,Akure South,ODSAKS09,5.183608,7.24059
f2bcde2d-8b16-4510-886f-df97c53c9ab3,Amathibi Basic Health Center,,Primary Health Center,Ilaje,ODSIAE08,4.865155356782789,6.078346706557849
06fc0136-5cb5-4a76-9246-6bf954d38bd4,Moferere Oja Comprehensive Health Center,,Comprehensive Health Center,Ondo West,ODSOWT08,4.837742,7.091774
0fe77225-6b54-440d-a008-84cc8f59a595,Sabo Ibaka Basic Health Center,,Primary Health Center,Akoko South West,ODSASW05,5.808297,7.455859
