name_display,name_nfc,name_ascii_key,name_type,countries,languages,sources,source_ids,total_evidence_count,occurrence_count,last_seen_at
Selassie,Selassie,selassie,family,GH,en,wikidata,Q37454052,3,1,2026-04-11T03:55:04.900162+00:00
Selby,Selby,selby,family,GH,en,wikidata,Q12800852,3,1,2026-04-11T03:55:04.900162+00:00
Selelii,Selelii,selelii,family,TZ,en,wikidata,Q30102925,3,1,2026-04-11T04:03:05.784060+00:00
Selemani,Selemani,selemani,family,TZ,en,wikidata,Q86868810,2,1,2026-04-11T04:03:05.784060+00:00
Selman,Selman,selman,family,NG,en,wikidata,Q37544564,3,1,2026-04-11T03:53:58.817238+00:00
Selormey,Selormey,selormey,family,GH,en,wikidata,Q120762111,1,1,2026-04-11T03:55:04.900162+00:00
Semakor,Semakor,semakor,family,GH,en,wikidata,Q102426697,2,1,2026-04-11T03:55:04.900162+00:00
Sembène,Sembène,sembene,family,SN,en,wikidata,Q102360765,4,3,2026-04-11T03:55:29.976892+00:00
Semenyo,Semenyo,semenyo,family,GH,en,wikidata,Q63111278,2,1,2026-04-11T03:55:04.900162+00:00
Semwanga,Semwanga,semwanga,family,UG,en,wikidata,Q127416573,1,1,2026-04-11T04:02:16.934249+00:00
Sen,Sen,sen,family,NG|SN,en,wikidata,Q3543591|Q7449892,2,2,2026-04-11T03:55:29.976892+00:00
Senanu,Senanu,senanu,family,GH,en,wikidata,Q138315201,1,1,2026-04-11T03:55:04.900162+00:00
Senay,Senay,senay,family,ER,en,wikidata,Q37159619,3,1,2026-04-11T04:06:05.956447+00:00
Senchi,Senchi,senchi,family,NG,en,wikidata,Q133287677,1,1,2026-04-11T03:53:58.817238+00:00
Sendeka,Sendeka,sendeka,family,TZ,en,wikidata,Q30093430,3,1,2026-04-11T04:03:05.784060+00:00
Sene,Sene,sene,family,GN|ML|SN,en,wikidata,Q21452333|Q37307362|Q64371143,13,6,2026-04-11T03:58:48.444484+00:00
Senghor,Senghor,senghor,family,SN,en,wikidata,Q7450567,1,1,2026-04-11T03:55:29.976892+00:00
Senkoro,Senkoro,senkoro,family,TZ,en,wikidata,Q30093986,3,1,2026-04-11T04:03:05.784060+00:00
Senninger,Senninger,senninger,family,NG,en,wikidata,Q37230898,3,1,2026-04-11T03:53:58.817238+00:00
Senono,Senono,senono,family,UG,en,wikidata,Q125923621,1,1,2026-04-11T04:02:16.934249+00:00
Sentamu,Sentamu,sentamu,family,UG,en,wikidata,Q128034253,1,1,2026-04-11T04:02:16.934249+00:00
Senyo,Senyo,senyo,family,GH,en,wikidata,Q98245679,3,1,2026-04-11T03:55:04.900162+00:00
Serato,Serato,serato,family,UG,en,wikidata,Q37524708,3,1,2026-04-11T04:02:16.934249+00:00
Serbin,Serbin,serbin,family,SN,en,wikidata,Q12800902,1,1,2026-04-11T03:55:29.976892+00:00
Sereweji,Sereweji,sereweji,family,TZ,en,wikidata,Q30100365,3,1,2026-04-11T04:03:05.784060+00:00
Seriki,Seriki,seriki,family,NG,en,wikidata,Q131181810,1,1,2026-04-11T03:53:58.817238+00:00
Serrato,Serrato,serrato,family,NG,en,wikidata,Q37560460,3,1,2026-04-11T03:53:58.817238+00:00
Serukamba,Serukamba,serukamba,family,TZ,en,wikidata,Q30107033,3,1,2026-04-11T04:03:05.784060+00:00
Serwaa,Serwaa,serwaa,family,GH,en,wikidata,Q36893748,3,1,2026-04-11T03:55:04.900162+00:00
Sesanga,Sesanga,sesanga,family,UG,en,wikidata,Q54364606,3,1,2026-04-11T04:02:16.934249+00:00
Sesay,Sesay,sesay,family,SL,en,wikidata,Q7456027,1,1,2026-04-11T03:56:03.432992+00:00
Sesi,Sesi,sesi,family,GH,en,wikidata,Q36884124,3,1,2026-04-11T03:55:04.900162+00:00
Seth,Seth,seth,family,GN,en,wikidata,Q18608878,3,1,2026-04-11T03:56:43.370233+00:00
Seton,Seton,seton,family,LR,en,wikidata,Q13589975,3,1,2026-04-11T03:56:18.349080+00:00
Seun,Seun,seun,family,NG,en,wikidata,Q30669425,1,1,2026-04-11T03:53:58.817238+00:00
Sevaux,Sevaux,sevaux,family,NG,en,wikidata,Q123012070,1,1,2026-04-11T03:53:58.817238+00:00
Sey,Sey,sey,family,GM,en,wikidata,Q18331616,3,1,2026-04-11T03:55:47.241547+00:00
Seyda,Seyda,seyda,family,SN,en,wikidata,Q112041588,3,1,2026-04-11T03:55:29.976892+00:00
Seye,Seye,seye,family,NG|SN,en,wikidata,Q130540398|Q37536419,8,3,2026-04-11T03:55:29.976892+00:00
Seykere,Seykere,seykere,family,GH,en,wikidata,Q54256757,1,1,2026-04-11T03:55:04.900162+00:00
Seyoum,Seyoum,seyoum,family,ET,en,wikidata,Q37168025,3,1,2026-04-11T04:03:51.884736+00:00
Shaban,Shaban,shaban,family,KE|UG,en,wikidata,Q37228275,6,2,2026-04-11T04:02:16.934249+00:00
Shabi,Shabi,shabi,family,NG,en,wikidata,Q37529075,3,1,2026-04-11T03:53:58.817238+00:00
Shabiby,Shabiby,shabiby,family,TZ,en,wikidata,Q30093885,3,1,2026-04-11T04:03:05.784060+00:00
Shagaya,Shagaya,shagaya,family,NG,en,wikidata,Q111911451,1,1,2026-04-11T03:53:58.817238+00:00
Shah,Shah,shah,family,KE|TZ,en,wikidata,Q16883066,6,2,2026-04-11T04:03:05.784060+00:00
Shahanga,Shahanga,shahanga,family,TZ,en,wikidata,Q30090575,3,1,2026-04-11T04:03:05.784060+00:00
Shaheen,Shaheen,shaheen,family,KE,en,wikidata,Q36918669,3,1,2026-04-11T04:01:06.680289+00:00
Shaibu,Shaibu,shaibu,family,GH|NG|TZ,en,wikidata,Q34239356,9,3,2026-04-11T04:03:05.784060+00:00
Shamim,Shamim,shamim,family,UG,en,wikidata,Q37566692,3,1,2026-04-11T04:02:16.934249+00:00
Shamis,Shamis,shamis,family,TZ,en,wikidata,Q30100410,3,1,2026-04-11T04:03:05.784060+00:00
Shamsuddeen,Shamsuddeen,shamsuddeen,family,NG,en,wikidata,Q133307055,1,1,2026-04-11T03:53:58.817238+00:00
Shang,Shang,shang,family,KE,en,wikidata,Q11039337,1,1,2026-04-11T04:01:06.680289+00:00
Shankar,Shankar,shankar,family,ET,en,wikidata,Q37488528,3,1,2026-04-11T04:03:51.884736+00:00
Shankule,Shankule,shankule,family,ET,en,wikidata,Q122374396,1,1,2026-04-11T04:03:51.884736+00:00
Shannon,Shannon,shannon,family,LR,en,wikidata,Q7488820,3,1,2026-04-11T03:56:18.349080+00:00
Shao,Shao,shao,family,TZ,en,wikidata,Q30100606,3,1,2026-04-11T04:03:05.784060+00:00
Shariff,Shariff,shariff,family,KE|NG|UG,en,wikidata,Q37492489,9,3,2026-04-11T04:02:16.934249+00:00
Sharma,Sharma,sharma,family,KE,en,wikidata,Q2277230,1,1,2026-04-11T04:01:06.680289+00:00
Sharp,Sharp,sharp,family,NG,en,wikidata,Q5265065,1,1,2026-04-11T03:53:58.817238+00:00
Shaw,Shaw,shaw,family,GH|KE|LR,en,wikidata,Q7491146,9,3,2026-04-11T04:01:06.680289+00:00
Shay,Shay,shay,family,NG,en,wikidata,Q21491292,3,1,2026-04-11T03:53:58.817238+00:00
Shayo,Shayo,shayo,family,TZ,en,wikidata,Q30102921,3,1,2026-04-11T04:03:05.784060+00:00
Sheehan,Sheehan,sheehan,family,NG,en,wikidata,Q21448901,3,1,2026-04-11T03:53:58.817238+00:00
Shehu,Shehu,shehu,family,NG,en,wikidata,Q7492853,4,2,2026-04-11T03:53:58.817238+00:00
Shehu Adam al-Ilory,Shehu Adam al-Ilory,shehuadamalilory,family,NG,fr,wikidata,Q2824027,1,1,2026-04-11T03:53:58.817238+00:00
Shein,Shein,shein,family,TZ,en,wikidata,Q7493189,3,1,2026-04-11T04:03:05.784060+00:00
Shekifu,Shekifu,shekifu,family,TZ,en,wikidata,Q30100491,3,1,2026-04-11T04:03:05.784060+00:00
Shekoni,Shekoni,shekoni,family,NG,en,wikidata,Q116820753,1,1,2026-04-11T03:53:58.817238+00:00
Shellukindo,Shellukindo,shellukindo,family,TZ,en,wikidata,Q30095512,3,1,2026-04-11T04:03:05.784060+00:00
Shelukindo,Shelukindo,shelukindo,family,TZ,en,wikidata,Q30125892,3,1,2026-04-11T04:03:05.784060+00:00
Shema,Shema,shema,family,NG|RW,en,wikidata,Q36926964,6,2,2026-04-11T04:06:35.644753+00:00
Sheriff,Sheriff,sheriff,family,LR|TZ,en|fr,wikidata,Q36968503,8,4,2026-04-11T04:03:05.784060+00:00
Sherman,Sherman,sherman,family,LR,en,wikidata,Q22673958,3,1,2026-04-11T03:56:18.349080+00:00
Shibuda,Shibuda,shibuda,family,TZ,en,wikidata,Q30100604,3,1,2026-04-11T04:03:05.784060+00:00
Shida,Shida,shida,family,UG,en,wikidata,Q26231128,1,1,2026-04-11T04:02:16.934249+00:00
Shiferaw,Shiferaw,shiferaw,family,ER|ET,en,wikidata,Q37155937,6,2,2026-04-11T04:06:05.956447+00:00
Shija,Shija,shija,family,NG|TZ,en,wikidata,Q30090498,6,2,2026-04-11T04:03:05.784060+00:00
Shirazi,Shirazi,shirazi,family,UG,en,wikidata,Q37503643,3,1,2026-04-11T04:02:16.934249+00:00
Shire,Shire,shire,family,SO,en,wikidata,Q18331631,3,1,2026-04-11T04:05:06.670758+00:00
Shittu,Shittu,shittu,family,NG,en,wikidata,Q16883222,1,1,2026-04-11T03:53:58.817238+00:00
Shivji,Shivji,shivji,family,TZ,en,wikidata,Q37258320,3,1,2026-04-11T04:03:05.784060+00:00
Shnayder,Shnayder,shnayder,family,NG,en,wikidata,Q37273051,3,1,2026-04-11T03:53:58.817238+00:00
Shobomehin,Shobomehin,shobomehin,family,NG,en,wikidata,Q136463071,1,1,2026-04-11T03:54:49.551750+00:00
Shongwe,Shongwe,shongwe,family,KE,en,wikidata,Q137969297,1,1,2026-04-11T04:01:06.680289+00:00
Short,Short,short,family,GH,en,wikidata,Q16883238,3,1,2026-04-11T03:55:04.900162+00:00
Shuaib,Shuaib,shuaib,family,NG,en,wikidata,Q37438564,3,1,2026-04-11T03:53:58.817238+00:00
Shyaka,Shyaka,shyaka,family,RW,en,wikidata,Q133277467,1,1,2026-04-11T04:06:35.644753+00:00
Shyllon,Shyllon,shyllon,family,NG,en,wikidata,Q133235269,1,1,2026-04-11T03:53:58.817238+00:00
Siani,Siani,siani,family,SN,en,wikidata,Q37485454,3,1,2026-04-11T03:55:29.976892+00:00
Siasia,Siasia,siasia,family,NG,en,wikidata,Q118312837,3,1,2026-04-11T03:53:58.817238+00:00
Siaw,Siaw,siaw,family,GH,en,wikidata,Q37208313,3,1,2026-04-11T03:55:04.900162+00:00
Sibbick,Sibbick,sibbick,family,UG,en,wikidata,Q96478797,2,1,2026-04-11T04:02:16.934249+00:00
Sibomana,Sibomana,sibomana,family,RW,en,wikidata,Q118380354,3,1,2026-04-11T04:06:35.644753+00:00
Sichalwe,Sichalwe,sichalwe,family,TZ,en,wikidata,Q118390776,3,1,2026-04-11T04:03:05.784060+00:00
Sichert,Sichert,sichert,family,NG,en,wikidata,Q111774211,3,1,2026-04-11T03:53:58.817238+00:00
Sida,Sida,sida,family,UG,en,wikidata,Q26231128,1,1,2026-04-11T04:02:16.934249+00:00
Siddiqi,Siddiqi,siddiqi,family,NG,en,wikidata,Q37539301,3,1,2026-04-11T03:53:58.817238+00:00
Sidibe,Sidibe,sidibe,family,GN|ML|NE|SN,en,wikidata,Q21481545|Q56540759,24,8,2026-04-11T03:59:54.371781+00:00
Sidikou,Sidikou,sidikou,family,NE,en,wikidata,Q56540762,1,1,2026-04-11T03:59:54.371781+00:00
Sidimé,Sidimé,sidime,family,GN,en,wikidata,Q117224380,1,1,2026-04-11T03:56:43.370233+00:00
Sido,Sido,sido,family,NE|NG,en,wikidata,Q37441965,6,2,2026-04-11T03:59:54.371781+00:00
Sidya,Sidya,sidya,family,GN,en,wikidata,Q117224777,1,1,2026-04-11T03:56:43.370233+00:00
Siga,Siga,siga,family,SN,en,wikidata,Q129634150,1,1,2026-04-11T03:55:29.976892+00:00
Sigo,Sigo,sigo,family,NG,en,wikidata,Q37455624,3,1,2026-04-11T03:53:58.817238+00:00
Sigonda,Sigonda,sigonda,family,TZ,en,wikidata,Q30100331,3,1,2026-04-11T04:03:05.784060+00:00
Sikoyo,Sikoyo,sikoyo,family,KE,en,wikidata,Q123518560,1,1,2026-04-11T04:01:06.680289+00:00
Silberfeld,Silberfeld,silberfeld,family,NE,en,wikidata,Q106121648,3,1,2026-04-11T03:59:54.371781+00:00
Silima,Silima,silima,family,TZ,en,wikidata,Q30107022,3,1,2026-04-11T04:03:05.784060+00:00
